generated_at_utc,seed,split,model_variant,threshold,threshold_strategy,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,candidate_type,probability_path
2026-06-01T08:38:58.744711+00:00,42,test,blend_dl03_xgb04_lgbm03,0.5,default_0.5,0.8634024637455169,0.8537816643095943,0.9076492537313433,0.7416158536585366,0.8162751677852349,3789,2624,0.9110800520119215,0.8986636501748706,0.1144881165495288,3591,198,678,1946,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.769255+00:00,42,train,blend_dl03_xgb05_lgbm02,0.5,default_0.5,0.9022825251478795,0.8958674289381328,0.9547317073170731,0.7991180793728564,0.8700213371266002,17677,12246,0.9595077143779279,0.9519197054042992,0.10359425604826573,17213,464,2460,9786,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.799290+00:00,42,val,blend_dl03_xgb05_lgbm02,0.5,default_0.5,0.8654295961328551,0.855539254705288,0.9171009000473709,0.7378048780487805,0.817740232312566,3789,2624,0.9141267203200536,0.9053756253911049,0.11307254142232327,3614,175,688,1936,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.813453+00:00,42,test,blend_dl03_xgb05_lgbm02,0.5,default_0.5,0.8616871978793077,0.8519075105833237,0.9056515646893974,0.7389481707317073,0.8138509968520462,3789,2624,0.9099483260272032,0.8975835758940878,0.11543281205338106,3587,202,685,1939,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.829996+00:00,42,train,blend_dl03_xgb06_lgbm01,0.5,default_0.5,0.8968352103732915,0.8899394010857296,0.9495435358790616,0.7898905765147803,0.862390228680961,17677,12246,0.9530163160369779,0.9451961936866289,0.10699831313978624,17163,514,2573,9673,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.871485+00:00,42,val,blend_dl03_xgb06_lgbm01,0.5,default_0.5,0.8648058630905973,0.8547932236205683,0.9173396674584323,0.7358993902439024,0.8166631423133855,3789,2624,0.9131727191678092,0.9043406062855445,0.11389441283190001,3615,174,693,1931,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.886153+00:00,42,test,blend_dl03_xgb06_lgbm01,0.5,default_0.5,0.8604397317947918,0.8505204705571058,0.9045390734674777,0.7366615853658537,0.8120142827137156,3789,2624,0.9085811422989528,0.8962768334221324,0.11643678161387229,3585,204,691,1933,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.903000+00:00,42,train,blend_dl03_xgb07_lgbm00,0.5,default_0.5,0.8908866089630051,0.8834552845785948,0.943681454401739,0.7799281398007513,0.854026020476595,17677,12246,0.9455980865231397,0.9377555394197904,0.11050149820245073,17107,570,2695,9551,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.940752+00:00,42,val,blend_dl03_xgb07_lgbm00,0.5,default_0.5,0.8634024637455169,0.8533502866590609,0.9142180094786729,0.7351371951219512,0.8149556400506971,3789,2624,0.9119756161932165,0.9030953677895768,0.11477584206433958,3608,181,695,1929,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.968370+00:00,42,test,blend_dl03_xgb07_lgbm00,0.5,default_0.5,0.8584125994074536,0.8483362052978891,0.901685393258427,0.7339939024390244,0.8092436974789916,3789,2624,0.9069389728932918,0.8946990763510706,0.11750002719721984,3579,210,698,1926,weighted_blend,not_saved_candidate_probability
